17062428;Raiff-VB Oder-Spree Beeskow
17080000;Dresdner Bank Frankfurt, O
17092404;VR Bank Fuerstenwalde
18000000;BBk Cottbus
18020086;HypoVereinsbank Cottbus
18040000;Commerzbank Cottbus
18050000;Sparkasse Spree-Neisse
18051000;Sparkasse Elbe-Elster
18055000;Sparkasse Niederlausitz
18062678;VR Bank Lausitz
18062698;Raiffbk Oberspreew Vetschau
18062758;VR Bank Forst
18080000;Dresdner Bank Cottbus
18092684;Spreewaldbank Luebben
18092744;VB Spremberg-Bad Muskau
18092794;VR Bank Cottbus -alt-
20000000;BBk Hamburg
20010020;Postbank -Giro- Hamburg
20010111;SEB Hamburg
20010424;Aareal Bank
20010800;MPC Capital Privatbank
20020200;SEB Merchant Bank Hamburg
20020500;Jyske Bank Hamburg
20020860;Hypover Bk-Hypo-Hamburg
20020900;Signal Iduna Bauspar
20030000;HypoVereinsbk ex VereinWest
20030300;Donner Bank, C.H.
20030400;Marcardbank Hamburg
20030600;Sydbank Hamburg
20030700;Merck Finck und Co Hamburg
20030900;Woelbernbank Hamburg
20040000;Commerzbank Hamburg
20040040;Commerzbank GF RME, Hamburg
20040050;Commerzbank GF COC
20040060;Commerzbank Gf 260 Hamburg
20040061;Commerzbank Gf 261 Hamburg
20041111;comdirect bank Quickborn
20041133;comdirect bank Quickborn
20041144;comdirect bank Quickborn
20041155;comdirect bank
20050000;HSH Nordbank Hamburg
20050550;Haspa Hamburg
20060000;DZ BANK
20069111;Norderstedter Bank
20069125;Raiffbk Kaltenkirchen
20069130;Raiffbk
20069144;Raiffeisenbank Seestermuehe
20069145;VR-Bk Halstenbek-Schenefeld
20069177;Raiffbk Suedstormarn
20069232;Raiffbk Struvenhuetten
20069625;Volksbank Gnarrenburg
20069641;Raiffeisenbank Owschlag
20069659;Volksbank
20069780;Volksbank Ahlerstedt
20069782;Volksbank Geest
20069786;VB Kehdingen
20069800;Spar- und Kreditbank Hammah
20069812;Volksbank Fredenbeck
20069815;Volksbank Oldendorf
20069861;Raiffeisenbank Ratzeburg
20069882;Raiffeisenbank Travemuende
20069965;VB Winsener Marsch
20069989;Volksbank Wulfsen
20070000;Deutsche Bank Hamburg
20070024;Deutsche Bank PGK Hamburg
20080000;Dresdner Bank Hamburg
20080055;Dresdner Bank Zw 55 Hamburg
20080057;Dresdner Bk ZW 57 Hamburg
20080085;Dresdner Bank ITKG2 Hamburg
20080086;Dresdner Bank ITGK 3
20080087;Dresdner Bank ITGK4 Hamburg
20080088;Dresdner Bank ITGK5 Hamburg
20080089;Dresdner Bank ITGK6 Hamburg
20089200;Dresdner Bank ITGK Hamburg
20090400;DG HYP Hamburg
20090500;netbank
20090602;apoBank Hamburg
20090700;Edekabank Hamburg
20090745;EBANK Gf Cash Hamburg
20090900;PSD Bank Nord Hamburg
20110022;Postbank -Spar- Hamburg
20110401;Eurohypo ehem DHH
20110600;Bank Fischer Co Hamburg
20110700;Tokyo-Mitsubishi Bk Hamburg
20110800;Bank of China Hamburg
20120000;Berenbergbank
20120100;M.M. Warburg Bank
20120200;BHF-BANK Hamburg
20120400;Deutscher Ring Bspk Hamburg
20120600;Goyer und Goeppel Hamburg
20120700;Hanseatic Bank Hamburg
20120701;Hanseatic Bk Zw Nord Hambg
20120744;Hanseatic Bank Filiale Ost
20120766;Hanseatic Bank Filiale Sued
20130400;Hessenewmanbank Hamburg
20130412;Hesse Newman und Co. Hamburg
20130600;Barclaycard
20150000;TxB Transaktionsbank
20190003;Hamburger Volksbank
20190109;VB Stormarn
20190206;VB Hamburg Ost-West -alt-
20190301;Vierlaender VB Hamburg
20190800;MKB Hamburg
20210200;Bank Melli Iran Hamburg
20210300;Bank Saderat Iran Hamburg
20220100;DnB NOR Bank ASA Hamburg
20220400;M.M. Warburg Hyp Hamburg
20230300;Schroederbank Hamburg
20230600;Isbank Hamburg
20230800;Sutorbank Hamburg
20310300;Europ-Iran Handelsbk Hambg
20310600;ABN Amro Bank Hamburg
20320500;Danske Bank Hamburg
20330300;Indover Bank Hamburg
20350000;WestLB Hamburg
20690500;Sparda-Bank Hamburg
20730000;HypoVereinsbk ex VereinWest
20730051;HypoVereinsbk ex VereinWest
20730053;HypoVereinsbk ex VereinWest
20730054;HypoVereinsbk ex VereinWest
20750000;Spk Harburg-Buxtehude
21000000;BBk Kiel
21010111;SEB Kiel
21020600;Sydbank Fil. Kiel
21030000;HypoVereinsbk ex VereinWest
21030092;HypoVereinsbk ex VereinWest
21030093;HypoVereinsbk ex VereinWest
21030094;HypoVereinsbk ex VereinWest
21030095;HypoVereinsbk ex VereinWest
21040010;Commerzbank Kiel
21042076;Commerzbank Eckernfoerde
21050000;HSH Nordbank HH, Kiel
21050170;Foerde Sparkasse
21051275;Bordesholmer Sparkasse
21051580;Spk Kreis Ploen -alt-
21052090;Sparkasse Eckernfoerde -alt-
21060237;Ev Darlehnsgenossenschaft K
21064045;Raiffbk Kr Ploen Luetjenburg
